"","V1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"11","'b03609750'",0.0226100694280169,NA,0,NA,0.627742340789574,0.000373101479410248,NA,0.000213200845377285,NA,6.34811505898656e-05,NA,NA,NA,0.00561029640307416,0.285684341775328,4.55147872153754e-05,0.0312273361812016,0.0264303171602127,NA,NA
"12","'b03612500'",0.00736604537418471,NA,0,NA,0.533456272757554,0.00046570839394897,NA,8.20861458514231e-05,NA,3.71285601900223e-05,NA,NA,NA,0.00267989914317247,0.401711923178755,6.22763389768745e-05,0.0425044910137022,0.0116341690936646,NA,NA
"13","'b04264331'",0.0495111732070687,NA,NA,NA,0.209959246275625,0.109874232920332,NA,0.00484794024738431,NA,0.00285887490320543,NA,NA,NA,0.039563407311864,0.199621619019836,0.000358233400361843,0.0311076843422246,0.352291734353754,5.85401834454215e-06,NA
"14","'b05420500'",0.00806496632760257,NA,NA,NA,0.341134683386987,0.00161242938044255,NA,1.66346097999843e-05,NA,0.0080725787761551,NA,NA,NA,0.0463911073067665,0.536595295732349,0.000182416822721862,0.0174144628628107,0.0405154247943652,NA,NA
"15","'b05586100'",8.77655700192813e-05,NA,NA,NA,0.0817278416817693,4.52399845460213e-06,NA,6.06215792916685e-05,NA,0.000448780646696531,NA,NA,NA,0.00415031618225199,0.801379276648839,7.50983743463953e-05,0.0992673836902617,0.0127983916280694,NA,NA
"16","'b05587455'",0.0040257441312547,NA,NA,NA,0.209409053894767,0.000802261581565363,NA,3.40582746890956e-05,NA,0.00467537418550968,NA,NA,NA,0.0247944239736616,0.698313484694099,0.000113527582296985,0.0319313844898897,0.0259006871922667,NA,NA
"17","'b06338490'",0.0805804063175948,NA,NA,NA,0.000766311404396399,0.000185926488411764,NA,0.182025777436898,NA,0.558832424455994,NA,0,0,0.000762164842424626,0.162093254038584,0.0024978354277707,0.0007950698180716,0.00818584837253462,0.00327498139731915,NA
"18","'b06440000'",0.0693775886962626,NA,NA,NA,0.000711590841713044,0.000140021414210239,NA,0.146755033946127,NA,0.608237409430573,NA,0,0,0.000658302116448859,0.158236991381027,0.002843844996093,0.00076689426358457,0.00980532691827071,0.00246699599568976,NA
"19","'b06467500'",0.0603173553610287,NA,NA,NA,0.000817704019013522,0.00012030150152718,NA,0.126640352083548,NA,0.632610032816346,NA,0,0,0.000618730528358136,0.161548732104394,0.00416909613673798,0.000786806439124887,0.0102517650783435,0.0021191239315777,NA
"20","'b06610000'",0.0525608560569498,NA,NA,NA,0.00148294220559846,0.000104820222007722,NA,0.110366719956564,NA,0.571179717664093,NA,0,0,0.000768430260617761,0.245459097490347,0.00363597972972973,0.0012511311534749,0.0113438103281853,0.00184649493243243,NA
